Date              Price         Open        High        Low          Change %
Jul 15, 2025	6,262.73	6,257.46	6,268.12	6,201.73		+0.30%
Jul 14, 2025	6,243.76	6,295.29	6,302.04	6,241.68		-0.40%
Jul 13, 2025	6,268.56	6,255.15	6,273.31	6,239.22		+0.14%
Jul 10, 2025	6,259.75	6,255.68	6,269.44	6,237.60		-0.33%
Jul 09, 2025	6,280.46	6,266.80	6,290.22	6,251.44		+0.27%
Jul 08, 2025	6,263.26	6,243.33	6,269.16	6,231.43		+0.61%
Jul 07, 2025	6,225.52	6,234.03	6,242.70	6,217.75		-0.07%
Jul 06, 2025	6,229.98	6,259.04	6,262.07	6,201.00		-0.79%
Jul 02, 2025	6,279.35	6,246.46	6,284.65	6,246.46		+0.83%
Jul 01, 2025	6,227.42	6,193.88	6,227.60	6,188.29		+0.47%
Jun 30, 2025	6,198.01	6,187.25	6,210.78	6,177.97		-0.11%
Jun 29, 2025	6,204.95	6,193.36	6,215.08	6,174.97		+0.52%
Jun 26, 2025	6,173.07	6,150.70	6,187.68	6,132.35		+0.52%
Jun 25, 2025	6,141.02	6,112.09	6,146.52	6,107.27		+0.80%
Jun 24, 2025	6,092.16	6,104.23	6,108.51	6,080.09		0.00%
Jun 23, 2025	6,092.18	6,061.21	6,101.76	6,059.25		+1.11%
Jun 22, 2025	6,025.17	5,969.67	6,028.77	5,943.23		+0.96%
Jun 19, 2025	5,967.84	5,999.67	6,018.20	5,952.56		-0.22%
Jun 17, 2025	5,980.87	5,987.93	6,018.25	5,971.89		-0.03%
Jun 16, 2025	5,982.72	6,012.15	6,023.25	5,974.80		-0.84%
Jun 15, 2025	6,033.11	6,004.00	6,050.83	6,004.00		+0.94%
Jun 12, 2025	5,976.97	6,000.56	6,026.16	5,963.21		-1.13%
Jun 11, 2025	6,045.26	6,009.90	6,045.43	6,003.88		+0.38%
Jun 10, 2025	6,022.24	6,049.38	6,059.40	6,002.32		-0.27%
Jun 09, 2025	6,038.81	6,009.91	6,043.01	6,000.28		+0.55%
Jun 08, 2025	6,005.88	6,004.63	6,021.31	5,994.18		+0.09%
Jun 05, 2025	6,000.36	5,987.06	6,016.87	5,978.63		+1.03%
Jun 04, 2025	5,939.30	5,985.67	5,999.70	5,921.20		-0.53%
Jun 03, 2025	5,970.81	5,978.94	5,990.48	5,966.11		+0.01%
Jun 02, 2025	5,970.37	5,938.56	5,981.35	5,929.00		+0.58%
Jun 01, 2025	5,935.94	5,896.68	5,937.40	5,861.43		+0.41%
May 29, 2025	5,911.69	5,903.67	5,922.14	5,843.66		-0.01%
May 28, 2025	5,912.17	5,939.96	5,943.13	5,873.80		+0.40%
May 27, 2025	5,888.55	5,925.54	5,939.92	5,881.88		-0.56%
May 26, 2025	5,921.54	5,854.07	5,924.33	5,854.07		+2.05%
May 22, 2025	5,802.82	5,781.89	5,829.51	5,767.41		-0.67%
May 21, 2025	5,842.01	5,841.26	5,878.08	5,825.82		-0.04%
May 20, 2025	5,844.61	5,910.18	5,938.37	5,830.91		-1.61%
May 19, 2025	5,940.46	5,944.66	5,953.06	5,909.26		-0.39%
May 18, 2025	5,963.60	5,902.88	5,968.61	5,895.69		+0.09%
May 15, 2025	5,958.38	5,929.09	5,958.62	5,907.36		+0.70%
May 14, 2025	5,916.93	5,869.82	5,924.21	5,865.16		+0.41%
May 13, 2025	5,892.58	5,896.74	5,906.55	5,872.11		+0.10%
May 12, 2025	5,886.55	5,854.15	5,906.64	5,845.02		+0.72%
May 11, 2025	5,844.19	5,807.20	5,845.37	5,786.08		+3.26%
May 08, 2025	5,659.91	5,679.65	5,691.69	5,644.15		-0.07%
May 07, 2025	5,663.94	5,663.60	5,720.10	5,635.38		+0.58%
May 06, 2025	5,631.28	5,614.18	5,654.73	5,578.64		+0.43%
May 05, 2025	5,606.91	5,605.87	5,649.58	5,586.04		-0.77%
May 04, 2025	5,650.38	5,655.32	5,683.38	5,634.48		-0.64%
May 01, 2025	5,686.67	5,645.88	5,700.70	5,642.28		+1.47%
Apr 30, 2025	5,604.14	5,625.14	5,658.91	5,597.35		+0.63%
Apr 29, 2025	5,569.06	5,499.44	5,581.84	5,433.24		+0.15%
Apr 28, 2025	5,560.83	5,508.87	5,571.95	5,505.70		+0.58%
Apr 27, 2025	5,528.75	5,529.22	5,553.66	5,468.64		+0.06%
Apr 24, 2025	5,525.21	5,489.73	5,528.11	5,455.86		+0.74%
Apr 23, 2025	5,484.77	5,381.38	5,489.40	5,371.96		+2.03%
Apr 22, 2025	5,375.86	5,395.92	5,469.69	5,356.17		+1.67%
Apr 21, 2025	5,287.76	5,207.67	5,309.61	5,207.67		+2.51%
Apr 20, 2025	5,158.20	5,232.94	5,232.94	5,101.63		-2.36%
Apr 16, 2025	5,282.70	5,305.45	5,328.31	5,255.58		+0.13%
Apr 15, 2025	5,275.70	5,335.75	5,367.24	5,220.79		-2.24%
Apr 14, 2025	5,396.63	5,411.99	5,450.41	5,386.44		-0.17%
Apr 13, 2025	5,405.97	5,441.96	5,459.46	5,358.02		+0.79%
Apr 10, 2025	5,363.36	5,255.56	5,381.46	5,220.77		+1.81%
Apr 09, 2025	5,268.05	5,353.15	5,353.15	5,115.27		-3.46%
Apr 08, 2025	5,456.90	4,965.28	5,481.34	4,948.43		+9.52%
Apr 07, 2025	4,982.77	5,193.57	5,267.47	4,910.42		-1.57%
Apr 06, 2025	5,062.25	4,953.79	5,246.57	4,835.04		-0.23%
Apr 03, 2025	5,074.08	5,292.14	5,292.14	5,069.90		-5.97%
Apr 02, 2025	5,396.52	5,492.74	5,499.53	5,390.83		-4.84%
Apr 01, 2025	5,670.97	5,580.76	5,695.31	5,571.48		+0.67%
Mar 31, 2025	5,633.07	5,597.53	5,650.57	5,558.52		+0.38%
Mar 30, 2025	5,611.85	5,527.91	5,627.56	5,488.73		+0.55%
Mar 27, 2025	5,580.94	5,679.20	5,685.89	5,572.42		-1.97%
Mar 26, 2025	5,693.31	5,695.64	5,732.28	5,670.94		-0.33%
Mar 25, 2025	5,712.20	5,771.66	5,783.62	5,694.41		-1.12%
Mar 24, 2025	5,776.65	5,775.96	5,786.95	5,760.42		+0.16%
Mar 23, 2025	5,767.57	5,718.08	5,775.14	5,718.08		+1.76%
Mar 20, 2025	5,667.56	5,630.73	5,670.84	5,603.10		+0.08%
Mar 19, 2025	5,662.89	5,646.92	5,711.15	5,632.33		-0.22%
Mar 18, 2025	5,675.29	5,632.37	5,715.33	5,622.20		+1.08%
Mar 17, 2025	5,614.66	5,654.53	5,654.53	5,597.76		-1.07%
Mar 16, 2025	5,675.12	5,635.60	5,703.52	5,631.12		+0.64%
Mar 13, 2025	5,638.94	5,563.85	5,645.27	5,563.85		+2.13%
Mar 12, 2025	5,521.52	5,594.45	5,597.78	5,504.65		-1.39%
Mar 11, 2025	5,599.30	5,624.84	5,642.19	5,546.09		+0.49%
Mar 10, 2025	5,572.07	5,603.65	5,636.30	5,528.41		-0.76%
Mar 09, 2025	5,614.56	5,705.37	5,705.37	5,564.02		-2.70%
Mar 06, 2025	5,770.20	5,726.01	5,783.01	5,666.29		+0.55%
Mar 05, 2025	5,738.52	5,785.87	5,812.08	5,711.64		-1.78%
Mar 04, 2025	5,842.63	5,781.36	5,860.59	5,742.35		+1.12%
Mar 03, 2025	5,778.15	5,811.98	5,865.08	5,732.59		-1.22%
Mar 02, 2025	5,849.72	5,968.33	5,986.09	5,810.91		-1.76%
Feb 27, 2025	5,954.50	5,856.74	5,959.40	5,837.66		+1.59%
Feb 26, 2025	5,861.57	5,981.88	5,993.69	5,858.78		-1.59%
Feb 25, 2025	5,956.06	5,970.87	6,009.82	5,932.69		+0.01%
Feb 24, 2025	5,955.25	5,982.73	5,992.65	5,908.49		-0.47%
Feb 23, 2025	5,983.25	6,026.69	6,043.65	5,977.83		-0.50%
Feb 20, 2025	6,013.13	6,114.10	6,114.82	6,008.56		-1.71%
Feb 19, 2025	6,117.52	6,134.50	6,134.50	6,084.59		-0.43%
Feb 18, 2025	6,144.15	6,117.76	6,147.43	6,111.15		+0.24%
Feb 17, 2025	6,129.58	6,121.60	6,129.63	6,099.51		+0.24%
Feb 13, 2025	6,114.63	6,115.52	6,127.47	6,107.62		-0.01%
Feb 12, 2025	6,115.07	6,060.59	6,116.91	6,050.95		+1.04%
Feb 11, 2025	6,051.97	6,025.08	6,063.00	6,003.00		-0.27%
